Country,Ctry,Location,Facility,Frequency,VHFDOC,VHFpwr,TRD Copy,DMEDOC,DMEPwr,Latitude,NS,Longitude,WE,Cat,Remarks,Key,DR,MOD,Ch_date2
BRAZIL,B,SAO LUIS MCAL.CUNHA MACHADO,VOR/DME,113.5,200/450,30,,200/450,30,"02D35'00""",S,"044D14'00""",W,ICAO,,940247,R,,2019-12-15
BRAZIL,B,SAO PAULO CONGONHAS,ILS,109.3,25/62.5,17,,,0,"23D38'00""",S,"046D39'00""",W,ICAO,,940248,R,,2019-12-15
BRAZIL,B,SAO PAULO CONGONHAS,VOR/DME,116.9,200/450,30,,200/450,30,"23D37'00""",S,"046D39'00""",W,ICAO,DVOR,940249,R,,2019-12-15
BRAZIL,B,SAO PAULO GUARULHOS INTL.,ILS,111.5,25/62.5,17,,,0,"23D26'00""",S,"046D27'00""",W,ICAO,CAT. II,940250,R,,2019-12-15
BRAZIL,B,SAO PAULO GUARULHOS INTL.,ILS,111.1,25/62.5,17,,,0,"23D26'00""",S,"046D29'00""",W,ICAO,,940251,R,,2019-12-15
BRAZIL,B,SAO PAULO GUARULHOS INTL.,ILS,110.7,25/62.5,17,,,0,"23D25'00""",S,"046D27'00""",W,ICAO,,940252,R,,2019-12-15
BRAZIL,B,SAO PAULO GUARULHOS INTL.,VOR/DME,116.0,200/450,30,,200/450,30,"23D24'00""",S,"046D23'00""",W,ICAO,BONSUCESSO,940253,R,,2019-12-15
BRAZIL,B,SOROCABA,VOR/DME,115.2,200/450,30,,200/450,30,"23D30'00""",S,"047D23'00""",W,ICAO,SAO PAULO/TMA,940254,R,,2019-12-15
BRAZIL,B,TEFE,VOR/DME,112.9,200/450,30,,200/450,30,"03D23'00""",S,"064D44'00""",W,ICAO,,940255,R,,2019-12-15
BRAZIL,B,TERESINA,VOR/DME,112.3,200/450,30,,200/450,30,"05D04'00""",S,"042D49'00""",W,NAT,,940256,R,,2019-12-15
BRAZIL,B,TRES MARIAS,VOR/DME,114.7,200/450,30,,200/450,30,"18D12'00""",S,"045D27'00""",W,ICAO,DME-RECOMENDADO,940257,R,,2019-12-15
BRAZIL,B,TUCURUI,VOR/DME,112.9,200/450,30,,200/450,30,"03D48'00""",S,"049D43'00""",W,NAT,,940258,R,,2019-12-15
BRAZIL,B,UBERLANDIA,VOR,116.1,200/450,30,,,0,"18D52'00""",S,"048D13'00""",W,NAT,PROYECTADO,940259,R,,2019-12-15
BRAZIL,B,URUBUPUNGA CASTILHO,VOR/DME,114.2,200/450,30,,200/450,30,"20D46'00""",S,"051D33'00""",W,ICAO,,940260,R,,2019-12-15
BRAZIL,B,VILHENA,VOR/DME,112.1,200/450,30,,200/450,30,"12D42'00""",S,"060D05'00""",W,ICAO,,940261,R,,2019-12-15
BRAZIL,B,VITORIA GOIABEIRAS,VOR/DME,115.5,200/600,30,,200/600,30,"20D15'00""",S,"040D17'00""",W,ICAO,,940262,R,,2019-12-15
